Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:27:23 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_64_1_1_2/utilization_hier_perc.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
----------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-------------+-----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |    RAMB36   |   RAMB18  |   URAM   | DSP Blocks |
|       casServers_8                   |         contAddrServer_644 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_9                   |         contAddrServer_645 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_0                 |            contAddrNtwUnit |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_1                 |        contAddrNtwUnit_646 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_10                |        contAddrNtwUnit_647 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_11                |        contAddrNtwUnit_648 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_12                |        contAddrNtwUnit_649 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_13                |        contAddrNtwUnit_650 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_14                |        contAddrNtwUnit_651 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_15                |        contAddrNtwUnit_652 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_16                |        contAddrNtwUnit_653 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_17                |        contAddrNtwUnit_654 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_18                |        contAddrNtwUnit_655 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_19                |        contAddrNtwUnit_656 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_2                 |        contAddrNtwUnit_657 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_20                |        contAddrNtwUnit_658 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_21                |        contAddrNtwUnit_659 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_22                |        contAddrNtwUnit_660 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_23                |        contAddrNtwUnit_661 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_24                |        contAddrNtwUnit_662 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_25                |        contAddrNtwUnit_663 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_26                |        contAddrNtwUnit_664 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_27                |        contAddrNtwUnit_665 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_28                |        contAddrNtwUnit_666 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_29                |        contAddrNtwUnit_667 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_3                 |        contAddrNtwUnit_668 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_30                |        contAddrNtwUnit_669 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_31                |        contAddrNtwUnit_670 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_32                |        contAddrNtwUnit_671 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_33                |        contAddrNtwUnit_672 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_34                |        contAddrNtwUnit_673 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_35                |        contAddrNtwUnit_674 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_36                |        contAddrNtwUnit_675 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_37                |        contAddrNtwUnit_676 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_38                |        contAddrNtwUnit_677 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_39                |        contAddrNtwUnit_678 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_4                 |        contAddrNtwUnit_679 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_40                |        contAddrNtwUnit_680 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_41                |        contAddrNtwUnit_681 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_42                |        contAddrNtwUnit_682 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_43                |        contAddrNtwUnit_683 |     3(0.01%) |     3(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
