Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 20:57:16 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_32_1_1_2/utilization_hier_perc.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
-------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-------------+-----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |    RAMB36   |   RAMB18  |   URAM   | DSP Blocks |
|       networkUnits_31                |        contAddrNtwUnit_350 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |    65(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_4                 |        contAddrNtwUnit_351 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_5                 |        contAddrNtwUnit_352 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_6                 |        contAddrNtwUnit_353 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_7                 |        contAddrNtwUnit_354 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_8                 |        contAddrNtwUnit_355 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_9                 |        contAddrNtwUnit_356 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_0                       |                  contQueue |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_418 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_1                       |              contQueue_357 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_417 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_10                      |              contQueue_358 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_416 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_11                      |              contQueue_359 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_415 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_12                      |              contQueue_360 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_414 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_13                      |              contQueue_361 |    47(0.01%) |     7(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |    0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
