
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[  1922254 ns] [top.task_PE_20] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 710000
[  1946974 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 720000
[  1972048 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 730000
[  1996790 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 16, nodes processed = 740000
[  2021758 ns] [top.task_PE_11] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 750000
[  2048432 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 760000
[  2075398 ns] [top.task_PE_21] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 770000
[  2100726 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 780000
[  2128736 ns] [top.task_PE_15] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 790000
[  2155018 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 800000
[  2181588 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 810000
[  2207208 ns] [top.task_PE_18] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 16, nodes processed = 820000
[  2232838 ns] [top.task_PE_21] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 16, nodes processed = 830000
[  2258516 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 840000
[  2283896 ns] [top.task_PE_5] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 850000
[  2309570 ns] [top.task_PE_23] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 860000
[  2335024 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 870000
[  2360432 ns] [top.task_PE_4] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 880000
[  2385544 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 16, nodes processed = 890000
[  2410690 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 900000
[  2435488 ns] [top.task_PE_3] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 910000
[  2460180 ns] [top.task_PE_7] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 920000
[  2484750 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 930000
[  2509518 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 940000
[  2534594 ns] [top.task_PE_17] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 16, nodes processed = 950000
[  2560180 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 960000
[  2584962 ns] [top.task_PE_17] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 970000
[  2617370 ns] [top.task_PE_2] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 980000
[  2642736 ns] [top.task_PE_22] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 990000
[  2669714 ns] [top.task_PE_23] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1000000
[  2694918 ns] [top.task_PE_1] [void paper_exp1::task_pe::stage0()] received task: depth = 5, delay = 16, nodes processed = 1010000
[  2720736 ns] [top.task_PE_8] [void paper_exp1::task_pe::stage0()] received task: depth = 1, delay = 16, nodes processed = 1020000
[  2746290 ns] [top.task_PE_16] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1030000
[  2771592 ns] [top.task_PE_13] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1040000
[  2797132 ns] [top.task_PE_21] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1050000
[  2822940 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1060000
[  2848458 ns] [top.task_PE_10] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1070000
[  2873778 ns] [top.task_PE_17] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1080000
[  2899548 ns] [top.task_PE_23] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1090000
[  2925388 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1100000
[  2950346 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1110000
[  2975628 ns] [top.task_PE_0] [void paper_exp1::task_pe::stage0()] received task: depth = 2, delay = 16, nodes processed = 1120000
[  3001002 ns] [top.task_PE_12] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1130000
[  3025874 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1140000
[  3051570 ns] [top.task_PE_14] [void paper_exp1::task_pe::stage0()] received task: depth = 0, delay = 16, nodes processed = 1150000
