
        SystemC 2.3.3-Accellera --- Dec 26 2023 21:41:07
        Copyright (c) 1996-2018 by all Contributors,
        ALL RIGHTS RESERVED
[ 76517242 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 478201
[ 77701234 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 1, nodes processed = 485885
[ 78882988 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 493476
[ 80059206 ns] [top.task_PE_21] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 501021
[ 81232704 ns] [top.task_PE_0] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 1, nodes processed = 508501
[ 82404252 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 1, nodes processed = 516012
[ 83588018 ns] [top.task_PE_6] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 2, nodes processed = 523630
[ 84760314 ns] [top.task_PE_11] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 1024, index = 0, nodes processed = 531185
[ 85935582 ns] [top.task_PE_5] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 1024, index = 0, nodes processed = 538657
[ 87103110 ns] [top.task_PE_2] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 546055
[ 88279660 ns] [top.task_PE_23] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 553642
[ 89454648 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 561114
[ 90628388 ns] [top.task_PE_17] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 568642
[ 91806156 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 576189
[ 92973794 ns] [top.task_PE_16] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 2, nodes processed = 583640
[ 94143476 ns] [top.task_PE_7] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 1, nodes processed = 591072
[ 95313072 ns] [top.task_PE_19] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 598508
[ 96486808 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 2, delay = 1024, index = 0, nodes processed = 605986
[ 97646174 ns] [top.task_PE_14] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 613234
[ 98811668 ns] [top.task_PE_18] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 2, nodes processed = 620646
[ 99979166 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 628041
[101150862 ns] [top.task_PE_9] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 1, nodes processed = 635495
[102316438 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 642876
[103494280 ns] [top.task_PE_15] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 650440
[104665920 ns] [top.task_PE_13] [void paper_exp2::task_pe::stage0()] received task: depth = 1, delay = 1024, index = 1, nodes processed = 657940
[105835864 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 665397
[107011644 ns] [top.task_PE_10] [void paper_exp2::task_pe::stage0()] received task: depth = 0, delay = 1024, index = 0, nodes processed = 672882
