Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
-----------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:06:02 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_128_1_1_2/utilization_hier_perc.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
-----------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+----------------+----------------+--------------+----------+---------------+-------------+------------+----------+------------+
|               Instance               |           Module           |   Total LUTs   |   Logic LUTs   |    LUTRAMs   |   SRLs   |      FFs      |    RAMB36   |   RAMB18   |   URAM   | DSP Blocks |
|       casServers_53                  |        contAddrServer_1235 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_54                  |        contAddrServer_1236 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_55                  |        contAddrServer_1237 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_56                  |        contAddrServer_1238 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_57                  |        contAddrServer_1239 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_58                  |        contAddrServer_1240 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_59                  |        contAddrServer_1241 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_6                   |        contAddrServer_1242 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_60                  |        contAddrServer_1243 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_61                  |        contAddrServer_1244 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_62                  |        contAddrServer_1245 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_63                  |        contAddrServer_1246 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_64                  |        contAddrServer_1247 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_65                  |        contAddrServer_1248 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_66                  |        contAddrServer_1249 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_67                  |        contAddrServer_1250 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_68                  |        contAddrServer_1251 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_69                  |        contAddrServer_1252 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_7                   |        contAddrServer_1253 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_70                  |        contAddrServer_1254 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_71                  |        contAddrServer_1255 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_72                  |        contAddrServer_1256 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_73                  |        contAddrServer_1257 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_74                  |        contAddrServer_1258 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_75                  |        contAddrServer_1259 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_76                  |        contAddrServer_1260 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_77                  |        contAddrServer_1261 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_78                  |        contAddrServer_1262 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
|       casServers_79                  |        contAddrServer_1263 |       0(0.00%) |       0(0.00%) |     0(0.00%) | 0(0.00%) |     65(0.01%) |    0(0.00%) |   0(0.00%) | 0(0.00%) |   0(0.00%) |
