Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
----------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:11:50 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_16_1_1_2/utilization_hier_perc.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
----------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+------------+-----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36   |   RAMB18  |   URAM   | DSP Blocks |
|       networkUnits_8                 |        contAddrNtwUnit_179 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       networkUnits_9                 |        contAddrNtwUnit_180 |     4(0.01%) |     4(0.01%) |    0(0.00%) | 0(0.00%) |    66(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_0                       |                  contQueue |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_210 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_1                       |              contQueue_181 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_209 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_10                      |              contQueue_182 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_208 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|       queues_11                      |              contQueue_183 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
|         q                            |                Queue_4_207 |    48(0.01%) |     8(0.01%) |   40(0.01%) | 0(0.00%) |     7(0.01%) |   0(0.00%) |  0(0.00%) | 0(0.00%) |   0(0.00%) |
