Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
---------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:31:17 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_8_1_1_2/utilization_hier_perc.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
---------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-----------+----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36  |  RAMB18  |   URAM   | DSP Blocks |
|         dataUnits_6                  |    stealNetworkDataUnit_72 |   129(0.01%) |   129(0.01%) |    0(0.00%) | 0(0.00%) |   261(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_7                  |    stealNetworkDataUnit_73 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |   258(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_8                  |    stealNetworkDataUnit_74 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |   258(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_9                  |    stealNetworkDataUnit_75 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |   257(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_0                 |                stealServer |   662(0.05%) |   662(0.05%) |    0(0.00%) | 0(0.00%) |   588(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_1                 |             stealServer_28 |   665(0.05%) |   665(0.05%) |    0(0.00%) | 0(0.00%) |   590(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_2                 |             stealServer_29 |   666(0.05%) |   666(0.05%) |    0(0.00%) | 0(0.00%) |   590(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_3                 |             stealServer_30 |   665(0.05%) |   665(0.05%) |    0(0.00%) | 0(0.00%) |   590(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_4                 |             stealServer_31 |   657(0.05%) |   657(0.05%) |    0(0.00%) | 0(0.00%) |   587(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_5                 |             stealServer_32 |   657(0.05%) |   657(0.05%) |    0(0.00%) | 0(0.00%) |   589(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_6                 |             stealServer_33 |   656(0.05%) |   656(0.05%) |    0(0.00%) | 0(0.00%) |   589(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_7                 |             stealServer_34 |   658(0.05%) |   658(0.05%) |    0(0.00%) | 0(0.00%) |   590(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_0                   |                   hw_deque |   226(0.02%) |   226(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_0)               |                   hw_deque |    78(0.01%) |    78(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_54 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_55 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_55 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__4 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_1                   |                hw_deque_35 |   226(0.02%) |   226(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_1)               |                hw_deque_35 |    78(0.01%) |    78(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_52 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_53 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_53 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__5 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_2                   |                hw_deque_36 |   226(0.02%) |   226(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_2)               |                hw_deque_36 |    78(0.01%) |    78(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_50 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_51 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_51 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__6 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_3                   |                hw_deque_37 |   226(0.02%) |   226(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_3)               |                hw_deque_37 |    78(0.01%) |    78(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_48 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_49 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_49 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__7 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_4                   |                hw_deque_38 |   226(0.02%) |   226(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_4)               |                hw_deque_38 |    78(0.01%) |    78(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_46 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_47 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_47 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |            xpm_memory_base |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_5                   |                hw_deque_39 |   224(0.02%) |   224(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_5)               |                hw_deque_39 |    76(0.01%) |    76(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_44 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_45 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_45 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|             xpm_memory_base_inst     |         xpm_memory_base__3 |     0(0.00%) |     0(0.00%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|       taskQueues_6                   |                hw_deque_40 |   225(0.02%) |   225(0.02%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|         (taskQueues_6)               |                hw_deque_40 |    77(0.01%) |    77(0.01%) |    0(0.00%) | 0(0.00%) |    22(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         bramMem                      |            DualPortBRAM_42 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_43 |   148(0.01%) |   148(0.01%) |    0(0.00%) | 0(0.00%) |     0(0.00%) |  7(0.35%) | 1(0.02%) | 0(0.00%) |   0(0.00%) |
