Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
--------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 17:31:16 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -file hdl_8_1_1_2/utilization_hier.post_synth.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Synthesized
--------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+
|               Instance               |           Module           | Total LUTs | Logic LUTs | LUTRAMs | SRLs |  FFs  | RAMB36 | RAMB18 | URAM | DSP Blocks |
|         ctrlunits_9                  |    stealNetworkCtrlUnit_65 |          0 |          0 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|         dataUnits_0                  |       stealNetworkDataUnit |         64 |         64 |       0 |    0 |   258 |      0 |      0 |    0 |          0 |
|         dataUnits_1                  |    stealNetworkDataUnit_66 |          0 |          0 |       0 |    0 |   257 |      0 |      0 |    0 |          0 |
|         dataUnits_10                 |    stealNetworkDataUnit_67 |        256 |        256 |       0 |    0 |   257 |      0 |      0 |    0 |          0 |
|         dataUnits_2                  |    stealNetworkDataUnit_68 |          1 |          1 |       0 |    0 |   259 |      0 |      0 |    0 |          0 |
|         dataUnits_3                  |    stealNetworkDataUnit_69 |        129 |        129 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|         dataUnits_4                  |    stealNetworkDataUnit_70 |        129 |        129 |       0 |    0 |   261 |      0 |      0 |    0 |          0 |
|         dataUnits_5                  |    stealNetworkDataUnit_71 |        129 |        129 |       0 |    0 |   262 |      0 |      0 |    0 |          0 |
|         dataUnits_6                  |    stealNetworkDataUnit_72 |        129 |        129 |       0 |    0 |   261 |      0 |      0 |    0 |          0 |
|         dataUnits_7                  |    stealNetworkDataUnit_73 |          1 |          1 |       0 |    0 |   258 |      0 |      0 |    0 |          0 |
|         dataUnits_8                  |    stealNetworkDataUnit_74 |          1 |          1 |       0 |    0 |   258 |      0 |      0 |    0 |          0 |
|         dataUnits_9                  |    stealNetworkDataUnit_75 |          1 |          1 |       0 |    0 |   257 |      0 |      0 |    0 |          0 |
|       stealServers_0                 |                stealServer |        662 |        662 |       0 |    0 |   588 |      0 |      0 |    0 |          0 |
|       stealServers_1                 |             stealServer_28 |        665 |        665 |       0 |    0 |   590 |      0 |      0 |    0 |          0 |
|       stealServers_2                 |             stealServer_29 |        666 |        666 |       0 |    0 |   590 |      0 |      0 |    0 |          0 |
|       stealServers_3                 |             stealServer_30 |        665 |        665 |       0 |    0 |   590 |      0 |      0 |    0 |          0 |
|       stealServers_4                 |             stealServer_31 |        657 |        657 |       0 |    0 |   587 |      0 |      0 |    0 |          0 |
|       stealServers_5                 |             stealServer_32 |        657 |        657 |       0 |    0 |   589 |      0 |      0 |    0 |          0 |
|       stealServers_6                 |             stealServer_33 |        656 |        656 |       0 |    0 |   589 |      0 |      0 |    0 |          0 |
|       stealServers_7                 |             stealServer_34 |        658 |        658 |       0 |    0 |   590 |      0 |      0 |    0 |          0 |
|       taskQueues_0                   |                   hw_deque |        226 |        226 |       0 |    0 |    22 |      7 |      1 |    0 |          0 |
|         (taskQueues_0)               |                   hw_deque |         78 |         78 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         bramMem                      |            DualPortBRAM_54 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_55 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_55 |        148 |        148 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             xpm_memory_base_inst     |         xpm_memory_base__4 |          0 |          0 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|       taskQueues_1                   |                hw_deque_35 |        226 |        226 |       0 |    0 |    22 |      7 |      1 |    0 |          0 |
|         (taskQueues_1)               |                hw_deque_35 |         78 |         78 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         bramMem                      |            DualPortBRAM_52 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_53 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_53 |        148 |        148 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             xpm_memory_base_inst     |         xpm_memory_base__5 |          0 |          0 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|       taskQueues_2                   |                hw_deque_36 |        226 |        226 |       0 |    0 |    22 |      7 |      1 |    0 |          0 |
|         (taskQueues_2)               |                hw_deque_36 |         78 |         78 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         bramMem                      |            DualPortBRAM_50 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_51 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_51 |        148 |        148 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             xpm_memory_base_inst     |         xpm_memory_base__6 |          0 |          0 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|       taskQueues_3                   |                hw_deque_37 |        226 |        226 |       0 |    0 |    22 |      7 |      1 |    0 |          0 |
|         (taskQueues_3)               |                hw_deque_37 |         78 |         78 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         bramMem                      |            DualPortBRAM_48 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_49 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_49 |        148 |        148 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             xpm_memory_base_inst     |         xpm_memory_base__7 |          0 |          0 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|       taskQueues_4                   |                hw_deque_38 |        226 |        226 |       0 |    0 |    22 |      7 |      1 |    0 |          0 |
|         (taskQueues_4)               |                hw_deque_38 |         78 |         78 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         bramMem                      |            DualPortBRAM_46 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_47 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_47 |        148 |        148 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             xpm_memory_base_inst     |            xpm_memory_base |          0 |          0 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|       taskQueues_5                   |                hw_deque_39 |        224 |        224 |       0 |    0 |    22 |      7 |      1 |    0 |          0 |
|         (taskQueues_5)               |                hw_deque_39 |         76 |         76 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         bramMem                      |            DualPortBRAM_44 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_45 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_45 |        148 |        148 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             xpm_memory_base_inst     |         xpm_memory_base__3 |          0 |          0 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|       taskQueues_6                   |                hw_deque_40 |        225 |        225 |       0 |    0 |    22 |      7 |      1 |    0 |          0 |
|         (taskQueues_6)               |                hw_deque_40 |         77 |         77 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         bramMem                      |            DualPortBRAM_42 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|           xpm_memory_tdpram_inst     |       xpm_memory_tdpram_43 |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|             (xpm_memory_tdpram_inst) |       xpm_memory_tdpram_43 |        148 |        148 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             xpm_memory_base_inst     |         xpm_memory_base__2 |          0 |          0 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|       taskQueues_7                   |                hw_deque_41 |        225 |        225 |       0 |    0 |    22 |      7 |      1 |    0 |          0 |
|         (taskQueues_7)               |                hw_deque_41 |         77 |         77 |       0 |    0 |    22 |      0 |      0 |    0 |          0 |
|         bramMem                      |               DualPortBRAM |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|           xpm_memory_tdpram_inst     |          xpm_memory_tdpram |        148 |        148 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|             (xpm_memory_tdpram_inst) |          xpm_memory_tdpram |        148 |        148 |       0 |    0 |     0 |      0 |      0 |    0 |          0 |
|             xpm_memory_base_inst     |         xpm_memory_base__1 |          0 |          0 |       0 |    0 |     0 |      7 |      1 |    0 |          0 |
|     virtualStealServers_0            |         virtualStealServer |       1942 |       1738 |     204 |    0 |   556 |      0 |      0 |    0 |          0 |
|       (virtualStealServers_0)        |         virtualStealServer |       1073 |       1073 |       0 |    0 |   532 |      0 |      0 |    0 |          0 |
|       rdReq__deq                     |                      Queue |        138 |        134 |       4 |    0 |     5 |      0 |      0 |    0 |          0 |
|       taskQueueBuffer                |                 Queue_3_26 |        440 |        292 |     148 |    0 |     9 |      0 |      0 |    0 |          0 |
|       wrReqData__deq                 |                    Queue_2 |        266 |        218 |      48 |    0 |     5 |      0 |      0 |    0 |          0 |
|       wrReq__deq                     |                   Queue_27 |         25 |         21 |       4 |    0 |     5 |      0 |      0 |    0 |          0 |
|     vssRvm_0                         |              readyValidMem |          1 |          1 |       0 |    0 |     1 |      0 |      0 |    0 |          0 |
|   syncSide                           |                   syncSide |       2291 |       1515 |     776 |    0 |  2355 |      0 |      0 |    0 |          0 |
|     argRouteRvm_0                    |            readyValidMem_2 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |    0 |          0 |
|     argRouteRvm_1                    |          readyValidMem_2_0 |          1 |          1 |       0 |    0 |     2 |      0 |      0 |    0 |          0 |
|     argRouteServers_0                |       argRouteVirtServerV2 |        695 |        467 |     228 |    0 |   801 |      0 |      0 |    0 |          0 |
|       (argRouteServers_0)            |       argRouteVirtServerV2 |        431 |        431 |       0 |    0 |   774 |      0 |      0 |    0 |          0 |
|       addrNtwInQueue                 |                Queue_23_23 |         50 |         10 |      40 |    0 |     9 |      0 |      0 |    0 |          0 |
|       addressesOfReadyTasks          |                Queue_24_24 |         52 |         12 |      40 |    0 |     9 |      0 |      0 |    0 |          0 |
|       readyTasksQueue                |                 Queue_3_25 |        162 |         14 |     148 |    0 |     9 |      0 |      0 |    0 |          0 |
|     argRouteServers_1                |     argRouteVirtServerV2_1 |        698 |        470 |     228 |    0 |   801 |      0 |      0 |    0 |          0 |
|       (argRouteServers_1)            |     argRouteVirtServerV2_1 |        434 |        434 |       0 |    0 |   774 |      0 |      0 |    0 |          0 |
|       addrNtwInQueue                 |                   Queue_23 |         50 |         10 |      40 |    0 |     9 |      0 |      0 |    0 |          0 |
|       addressesOfReadyTasks          |                   Queue_24 |         52 |         12 |      40 |    0 |     9 |      0 |      0 |    0 |          0 |
|       readyTasksQueue                |                    Queue_3 |        162 |         14 |     148 |    0 |     9 |      0 |      0 |    0 |          0 |
|     argSide                          |            argRouteNetwork |        896 |        576 |     320 |    0 |   749 |      0 |      0 |    0 |          0 |
|       networkUnits_0                 |            argRouteNtwUnit |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_1                 |          argRouteNtwUnit_2 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_2                 |          argRouteNtwUnit_3 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_3                 |          argRouteNtwUnit_4 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_4                 |          argRouteNtwUnit_5 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_5                 |          argRouteNtwUnit_6 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_6                 |          argRouteNtwUnit_7 |          4 |          4 |       0 |    0 |    66 |      0 |      0 |    0 |          0 |
|       networkUnits_7                 |          argRouteNtwUnit_8 |          1 |          1 |       0 |    0 |    65 |      0 |      0 |    0 |          0 |
|       queues_0                       |                contQueue_8 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_15_22 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|       queues_1                       |              contQueue_8_9 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_15_21 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|       queues_2                       |             contQueue_8_10 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_15_20 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|       queues_3                       |             contQueue_8_11 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_15_19 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|       queues_4                       |             contQueue_8_12 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_15_18 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|       queues_5                       |             contQueue_8_13 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_15_17 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|       queues_6                       |             contQueue_8_14 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|         q                            |                Queue_15_16 |        115 |         75 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|       queues_7                       |             contQueue_8_15 |         53 |         13 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|         q                            |                   Queue_15 |         53 |         13 |      40 |    0 |    11 |      0 |      0 |    0 |          0 |
|       virtNetworkUnits_0             |        argRouteNtwVirtUnit |          4 |          4 |       0 |    0 |    67 |      0 |      0 |    0 |          0 |
|       virtNetworkUnits_1             |      argRouteNtwVirtUnit_1 |          5 |          5 |       0 |    0 |    67 |      0 |      0 |    0 |          0 |
+--------------------------------------+----------------------------+------------+------------+---------+------+-------+--------+--------+------+------------+


