Copyright 1986-2022 Xilinx, Inc. All Rights Reserved.
------------------------------------------------------------------------------------------------------------------------------------------------------
| Tool Version : Vivado v.2022.2 (lin64) Build 3671981 Fri Oct 14 04:59:54 MDT 2022
| Date         : Sun Jan 14 21:29:02 2024
| Host         : inf139-desktop running 64-bit Ubuntu 22.04.3 LTS
| Command      : report_utilization -hierarchical -hierarchical_depth 8 -hierarchical_percentages -file hdl_8_1_1_2/utilization_hier_perc.post_pr.txt
| Design       : fullSysGen
| Device       : xcu280-fsvh2892-2L-e
| Speed File   : -2L
| Design State : Physopt postRoute
------------------------------------------------------------------------------------------------------------------------------------------------------

Utilization Design Information

Table of Contents
-----------------
1. Utilization by Hierarchy

1. Utilization by Hierarchy
---------------------------

+--------------------------------------+----------------------------+--------------+--------------+-------------+----------+--------------+-----------+----------+----------+------------+
|               Instance               |           Module           |  Total LUTs  |  Logic LUTs  |   LUTRAMs   |   SRLs   |      FFs     |   RAMB36  |  RAMB18  |   URAM   | DSP Blocks |
|         dataUnits_2                  |    stealNetworkDataUnit_68 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |   259(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_3                  |    stealNetworkDataUnit_69 |   129(0.01%) |   129(0.01%) |    0(0.00%) | 0(0.00%) |   262(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_4                  |    stealNetworkDataUnit_70 |   129(0.01%) |   129(0.01%) |    0(0.00%) | 0(0.00%) |   261(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_5                  |    stealNetworkDataUnit_71 |   129(0.01%) |   129(0.01%) |    0(0.00%) | 0(0.00%) |   262(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_6                  |    stealNetworkDataUnit_72 |   129(0.01%) |   129(0.01%) |    0(0.00%) | 0(0.00%) |   261(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_7                  |    stealNetworkDataUnit_73 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |   258(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_8                  |    stealNetworkDataUnit_74 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |   258(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|         dataUnits_9                  |    stealNetworkDataUnit_75 |     1(0.01%) |     1(0.01%) |    0(0.00%) | 0(0.00%) |   257(0.01%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_0                 |                stealServer |   660(0.05%) |   660(0.05%) |    0(0.00%) | 0(0.00%) |   588(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_1                 |             stealServer_28 |   660(0.05%) |   660(0.05%) |    0(0.00%) | 0(0.00%) |   590(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
|       stealServers_2                 |             stealServer_29 |   662(0.05%) |   662(0.05%) |    0(0.00%) | 0(0.00%) |   590(0.02%) |  0(0.00%) | 0(0.00%) | 0(0.00%) |   0(0.00%) |
